name,known_for_department,popularity
Koichi Yamadera,Acting,2.2052
Shigeru Chiba,,0.9154
Ray Lui,Acting,2.2051
Iazua Larios,Acting,2.2037
David Fincher,Directing,2.2037
Hayley Mills,Acting,2.2036
Alexa Davalos,Acting,2.2032
Kaho,Acting,2.2027
Richard Armitage,Acting,2.2027
Patrick Dempsey,Acting,2.2027
Cheng Yi,Acting,2.2025
Athena Chu Yan,Acting,2.2025
Mimi Rogers,Acting,2.2025
Konomi Suzuki,Sound,2.2024
Ayahi Takagaki,Acting,2.1264
Satomi Sato,Acting,2.0097
Nao Omori,Acting,2.2019
Neil Patrick Harris,Acting,2.2017
Chrissie Chau Sau-Na,Acting,2.2016
Roy Chiao,Acting,1.798
Maciej Mazurkiewicz,Acting,1.0951
Raquel Guerrero,Acting,2.3372
Geraldine Chaplin,Acting,2.0424
Adam Sotelo,Writing,2.319
Jane Seymour,Acting,2.2383
Polly Walker,Acting,2.3195
Viktoria Langton,Crew,0.8016
Lesley Ann Warren,Acting,2.1993
Scott McCord,Acting,2.3149
Michael Trucco,Acting,1.8834
Chris O'Donnell,Acting,2.4542
Glenn Close,Acting,2.1832
Stanley Kubrick,Directing,1.9765
Wojtek Matuszak,Acting,1.1413
Jessica Hsuan,Acting,2.4158
Park Eun-bin,Acting,2.138
Claudia Black,Acting,2.0712
Shoya Chiba,Acting,2.054
Tessyo Genda,Acting,2.4251
Raquel Welch,Acting,2.3894
Joe Mantegna,Acting,2.1008
John DiMaggio,Acting,1.9911
Ai Hashimoto,Acting,2.1093
Madeline Zima,Acting,2.36
Jesse Eisenberg,Acting,2.3136
Kentaro Ito,Acting,2.3647
Niecy Nash,Acting,2.3088
Alexander Dreymon,Acting,2.4945
Aisha Tyler,Acting,1.8137
Michael Chan Wai-Man,Acting,2.1344
Carolina Miranda,Acting,2.3382
Brian Jordan Alvarez,Acting,2.0032
Marlin McKeever,Acting,0.8628
Costa Ronin,Acting,2.0301
Kaori Nazuka,Acting,2.0004
Kaede Hondo,Acting,2.0302
Adelaide Kane,Acting,1.8962
Koji Yusa,Acting,2.1956
Richard Armitage,Acting,2.2027
Jeana Ho Pui-Yu,Acting,2.1607
Richard Ng Man-Tat,Acting,2.1606
Taylour Paige,Acting,2.16
Park So-dam,Acting,2.1598
Eli Gerstenlauer,Acting,2.1597
Ceasar Matijasevic,Acting,2.1594
Ken Lo Wai-Kwong,Acting,2.1593
LISA,Acting,2.1591
Shea Whigham,Acting,2.1587
Hill Harper,Acting,2.1587
Roman Polanski,Directing,2.1584
Billy Magnussen,Acting,2.1583
Jill Wagner,Acting,2.1583
Sharon Small,Acting,2.1581
Özge Törer,Acting,2.1577
Masato Uchiyama,Acting,2.1574
Junichi Suwabe,Acting,2.1572
Robbie Amell,Acting,2.1563
Jacky Cheung Hok-Yau,Acting,2.1563
Joo Yeon-seo,Acting,2.1552
Hikari Mitsushima,Acting,2.3642
Natalya Rudakova,Acting,2.3113
Gabriel Basso,Acting,1.9433
Brigitte Lin,Acting,2.5263
Jerry Trainor,Acting,2.0752
Ranveer Singh,Acting,2.1182
Danny McBride,Acting,2.0897
John Carpenter,Directing,1.9167
Carolyn Jones,Acting,1.8292
Reza Rahadian,Acting,1.9133
Garrett Hedlund,Acting,2.0204
Sam Shepard,Acting,2.0618
Hiroki Touchi,Acting,2.2406
Miki Mizuno,Acting,2.1269
Shintaro Asanuma,Acting,2.3671
Peter O'Toole,Acting,1.8532
Pete Davidson,Acting,2.1754
John C. Reilly,Acting,2.5482
Natalia Prokaziuk,Acting,1.0651
Brett Gelman,Acting,2.2718
Sabine Weithöner,Acting,2.1484
Gordon Liu Chia-Hui,Acting,2.1484
JISOO,Acting,2.148
Carrie-Anne Moss,Acting,2.1476
Paul Chun Pui,Acting,2.1469
Jorge Vargas,Acting,2.1467
Cho,Acting,2.1467
Seiji Miyaguchi,Acting,2.1458
Romy Schneider,Acting,2.1457
Rihanna,Acting,2.1456
Kerry Condon,Acting,2.1451
Kyle MacLachlan,Acting,2.1451
Melanie Lynskey,Acting,2.1449
Mahesh Babu,Acting,2.1446
Domhnall Gleeson,Acting,2.1446
Takami Yoshimoto,Acting,2.1445
Ci Sha,Acting,2.1441
Bosco Wong Chung-Chak,Acting,2.1436
Miguel Mora,Acting,2.143
Hokuto Matsumura,Acting,2.1428
George López,Acting,1.9077
Benz Hui Siu-Hung,Acting,2.2266
Virginia Madsen,Acting,2.284
Rachel Zegler,Acting,2.0917
Lorne Greene,Acting,1.4441
Gregory Peck,Acting,2.1814
Ayumi Kuroki,Acting,1.7561
Engfa Waraha,Acting,2.0196
Han Geng,Acting,2.1784
Bao Bei'er,Acting,1.995
Morgan Fairchild,Acting,2.324
Lynn Collins,Acting,2.2297
Prabhu Deva,Acting,2.0143
Song Zuer,Acting,2.0556
Christopher Eccleston,Acting,2.2711
William Sadler,Acting,2.1086
James Coburn,Acting,1.9569
Yuko Minaguchi,Acting,1.9498
Seann William Scott,Acting,2.1154
Toru Furuya,Acting,2.0032
Masaki Suda,Acting,2.1621
Shakib Khan,Acting,2.1609
Suzuko Mimori,Acting,2.1608
Jeana Ho Pui-Yu,Acting,2.1607
Richard Ng Man-Tat,Acting,2.1606
Ceasar Matijasevic,Acting,2.1594
Ken Lo Wai-Kwong,Acting,2.1593
Shea Whigham,Acting,2.1587
Hill Harper,Acting,2.1587
Roman Polanski,Directing,2.1584
Billy Magnussen,Acting,2.1583
Jill Wagner,Acting,2.1583
Sharon Small,Acting,2.1581
Özge Törer,Acting,2.1577
Masato Uchiyama,Acting,2.1574
Junichi Suwabe,Acting,2.1572
Ryo Nishino,Acting,0.7608
Jacky Cheung Hok-Yau,Acting,2.1563
Joo Yeon-seo,Acting,2.1552
Matthew Broderick,Acting,2.1548
Lorenzo Zurzolo,Acting,2.1546
Mark Gatiss,Acting,2.1545
Paul Mescal,Acting,2.1544
Chikahiro Kobayashi,Acting,1.9245
Hiroki Takahashi,Acting,2.1542
Xie Na,Acting,2.1542
Yuka Iguchi,Acting,2.2217
Elisabetta Canalis,Acting,1.7645
Choi Min-sik,Acting,2.1523
Irene Choi,Acting,2.1521
Bae Doona,Acting,2.152
Ted Levine,Acting,2.1518
Daniel Mitchell,Acting,2.1512
Veronica Yip Yuk-Hing,Acting,1.8218
Zhao Huawei,Acting,2.1508
Keisha Castle-Hughes,Acting,2.1505
Aylin Tezel,Acting,2.1502
Eric Tsang Chi-Wai,Acting,2.1491
Sabine Weithöner,Acting,2.1484
Gordon Liu Chia-Hui,Acting,2.1484
Minami Tsuda,Acting,1.8332
Carrie-Anne Moss,Acting,2.1476
Paul Chun Pui,Acting,2.1469
Jorge Vargas,Acting,2.1467
Cho,Acting,2.1467
Seiji Miyaguchi,Acting,2.1458
Romy Schneider,Acting,2.1457
Rihanna,Acting,2.1456
Kerry Condon,Acting,2.1451
Kyle MacLachlan,Acting,2.1451
Melanie Lynskey,Acting,2.1449
Mahesh Babu,Acting,2.1446
Domhnall Gleeson,Acting,2.1446
Yoji Ueda,Acting,2.112
Takami Yoshimoto,Acting,2.1445
Alexandre Kominek,Acting,1.9587
Ci Sha,Acting,2.1441
Risa Taneda,Acting,1.7737
Bosco Wong Chung-Chak,Acting,2.1436
Miguel Mora,Acting,2.143
Angie Harmon,Acting,2.4011
Kelli Bell,Crew,0.8258
James Hong,Acting,1.8703
Mélanie Bernier,Acting,1.8316
Kyle MacLachlan,Acting,2.1451
Kensho Ono,Acting,2.1268
Kōichi Imaizumi,Acting,2.0917
Liu Shishi,Acting,2.2376
Mahesh Babu,Acting,2.1446
Alexi Hawley,Writing,1.5627
Darek Majerek,Acting,1.1084
Jason Schwartzman,Acting,1.7912
Kate Bosworth,Acting,2.4375
Emma Corrin,Acting,1.9046
Anya Chalotra,Acting,2.2777
Sam Waterston,Acting,2.1414
Elizabeth Rodriguez,Acting,2.0713
Wang Baoqiang,Acting,2.1812
Huang Xing,Acting,1.9345
Denise Iketani,Acting,0.9219
Huang Xing,Acting,2.2522
Denise Iketani,Acting,2.2522
Akin Akinözü,Acting,2.252
Samy Naceri,Acting,2.2519
Wayne Lai Yiu-Cheung,Acting,2.2516
Frank Darabont,Directing,2.2509
Beto Arango,Acting,2.2504
Jason Sudeikis,Acting,2.25
Sota Fukushi,Acting,2.2496
Tony Todd,Acting,2.2494
Olivia Munn,Acting,2.2493
Roy Cheung Yiu-Yeung,Acting,2.2492
Ikki Sawamura,Acting,2.249
Paul Chun Pui,Acting,2.2484
Will Arnett,Acting,2.2484
Kenichi Matsuyama,Acting,2.2477
Lea Thompson,Acting,2.2473
Melissa Rauch,Acting,2.2468
Christian Thompson,Acting,2.2468
Mi Er,Creator,2.2467
Kana Ichinose,Acting,2.0361
Scott Speedman,Acting,2.244
Eiichiro Oda,Writing,2.0727
Michael J. Fox,Acting,2.9036
Miki Ito,Acting,2.0682
Tim Morris,Writing,1.9756
Noah Schnapp,Acting,2.2841
Thomas Delfino,Acting,0.7125
Lesley Manville,Acting,2.1831
River Phoenix,Acting,1.984
Yuria Hidaka,Acting,1.8356
Claudia Kim,Acting,2.1229
Omari Hardwick,Acting,1.9434
Chester Grecia,Acting,2.2843
Luciana Abreu,Acting,2.3214
Zhao Huawei,Acting,2.1508
Jeff Daniels,Acting,1.7119
Tomoaki Maeno,Acting,2.1202
Natasha O'Keeffe,Acting,2.2938
Fernando Lindez,Acting,1.811
Natasha O'Keeffe,Acting,2.2938
Fernando Lindez,Acting,1.811
Steven Bauer,Acting,2.3381
James Van Der Beek,Acting,1.8488
Alan Ruck,Acting,1.9765
Tomori Kusunoki,Acting,1.9389
Mamoru Oshii,Directing,1.9164
Gene Hackman,Acting,2.2404
Desi Lydic,Acting,2.2523
Alessandro Preziosi,Acting,1.2644
Chloé Galissi,Acting,0.845
Susan Sullivan,Acting,1.6652
Tony Goldwyn,Acting,2.1772
Erika Christensen,Acting,1.9609
Thanaphat Tansakul,Acting,2.0185
Wendell Pierce,Acting,1.9011
William Hurt,Acting,1.917
Stanley Grafton Njootli Jr.,Acting,2.1238
Mitsu Dan,Acting,2.0291
Boran Kuzum,Acting,2.4023
Éric Bitoun,Directing,2.0907
Terry O'Quinn,Acting,2.0904
Fahadh Faasil,Acting,2.0901
Ryo Horikawa,Acting,2.0899
Danny McBride,Acting,2.0897
Grainne Daly,Costume & Make-Up,2.0895
Gao Hanyu,Acting,2.0887
Denise Esteban,Acting,2.0884
Stacy Clausen,Acting,2.0881
Theo Rossi,Acting,2.0877
Cheng Yufeng,Acting,2.0876
Gang Dong-won,Acting,2.0871
Mandy Moore,Acting,2.087
Hans Zimmer,Sound,2.0869
Masataka Kubota,Acting,2.0862
Kim Cattrall,Acting,2.0857
Zhang Zifeng,Acting,2.0855
Aidan Turner,Acting,2.0855
Riko Narumi,Acting,2.0855
Jessy Schram,Acting,2.0851
Amy Brenneman,Acting,2.11
Ai Hashimoto,Acting,2.1093
Jock Simmons,Acting,2.1091
Tsubasa Honda,Acting,2.0051
Ursula Andress,Acting,2.1086
William Sadler,Acting,2.1086
Ai Kakuma,Acting,1.8683
Leslie Cheung,Acting,2.108
Hyun Bong-sik,Acting,2.1079
Laurie Holden,Acting,2.1078
Currie Graham,Acting,2.1063
Pattarasaya Kreursuwansiri,Acting,2.1052
Carmen Electra,Acting,2.1045
Takako Matsu,Acting,2.1042
Xu Dongdong,Acting,2.1036
Cho Jung-seok,Acting,2.0912
Cha Tae-hyun,Acting,2.1035
Kai Ko,Acting,2.1032
Takayuki Yamada,Acting,2.1032
Jun Fukuyama,Acting,2.1031
Sasha Roiz,Acting,1.8686
Tina Majorino,Acting,2.0066
Bella Thorne,Acting,1.9864
Kim Jae-uck,Acting,1.9919
Frances Conroy,Acting,1.8134
Alokananda Guha,Acting,2.0659
Nick Robinson,Acting,1.9648
Seo Rina,Acting,2.0587
Hudson Williams,Acting,2.2943
Morris Chestnut,Acting,2.0608
Tara Reid,Acting,2.4536
Oya Unustası,Acting,2.2446
Naoko Matsui,Acting,2.0262
Zhang Ruoyun,Acting,2.141
Rani Mukerji,Acting,2.2575
Shefali Shah,Acting,2.1005
Takuya Sato,Acting,2.2017
Michael Gambon,Acting,1.7652
Jamie Dornan,Acting,1.9953
Ruby O. Fee,Acting,2.2241
Ellyn Jameson,Acting,1.9834
Aimi,Acting,1.6061
Kaneto Shiozawa,Acting,1.9308
David Hasselhoff,Acting,2.3915
Matthew Perry,Acting,1.7623
Lee Kwang-soo,Acting,1.9643
Junko Miyashita,Acting,2.0503
Daisuke Sakaguchi,Acting,2.0379
Deepika Padukone,Acting,2.0696
Mayim Bialik,Acting,2.142
Karisma Kapoor,Acting,1.804
Frank Grillo,Acting,2.3748
Ally Sheedy,Acting,1.966
Kelly Macdonald,Acting,1.9194
Kim Novak,Acting,1.8384
Teri Polo,Acting,2.0234
Daisy Ridley,Acting,1.9682
Michael Cudlitz,Acting,2.4098
Scott Glenn,Acting,2.2843
Mimi Marks,Acting,2.212
Yasushi Koshizaka,Directing,2.0921
Tong Dawei,Acting,2.092
Rachel Zegler,Acting,2.0917
Kōichi Imaizumi,Acting,2.0917
Will Arnett,Acting,2.0917
Kevin Spacey,Acting,2.0914
Mio Kudo,Acting,2.091
Éric Bitoun,Directing,2.0907
Terry O'Quinn,Acting,2.0904
Fahadh Faasil,Acting,2.0901
Ryo Horikawa,Acting,2.0899
Danny McBride,Acting,2.0897
Grainne Daly,Costume & Make-Up,2.0895
Peng Yuchang,Acting,1.8296
Gao Hanyu,Acting,2.0887
Denise Esteban,Acting,2.0884
Stacy Clausen,Acting,2.0881
Theo Rossi,Acting,2.0877
Cheng Yufeng,Acting,2.0876
Gang Dong-won,Acting,2.0871
Leelee Sobieski,Acting,1.7036
Lin Gengxin,Acting,2.0299
Mohanlal,Acting,2.084
Shigeru Chiba,,0.9154
Valeria Golino,Acting,1.9278
Tommy Wong,Acting,1.9429
Will Yun Lee,Acting,2.0732
Kristofer Hivju,Acting,1.9445
Ayahi Takagaki,Acting,2.1264
Satomi Sato,Acting,2.0097
Maya Rudolph,Acting,2.2333
Kim Cattrall,Acting,2.0857
Kingdom Yuen King-Tan,Acting,2.3393
Shima Iwashita,Acting,2.1358
Koyuki,Acting,2.3747
Scott Bakula,Acting,2.0821
Lilli Janney,Editing,0.8836
Ryusei Nakao,Acting,1.9353
Gong Xuehua,Acting,2.393
Lo Lieh,Acting,2.1254
Fernando Poe Jr.,Acting,2.0823
Scott Bakula,Acting,2.0821
Esai Morales,Acting,2.082
Yuuichirou Umehara,Acting,2.0814
Brandon Larracuente,Acting,2.0813
Tyler Posey,Acting,2.0812
Darren Barnet,Acting,2.1292
Gary Busey,Acting,2.081
Dane DeHaan,Acting,2.0809
Bella Ramsey,Acting,2.0806
Alexis Bledel,Acting,2.0804
Nana Mori,Acting,2.0803
Liu Ye,Acting,2.0803
David Carradine,Acting,2.0803
Raymond Lam Fung,Acting,2.08
Kento Shiraishi,Acting,1.8677
Chiu Wai,Acting,2.0793
Kenichi Shimizu,Visual Effects,1.9949
Kim Gun-woo,Acting,1.7954
Ann Dowd,Acting,2.0785
Teryl Rothery,Acting,2.0514
Fiona Shaw,Acting,2.0512
Rodrigo Bezerra,Acting,2.0508
Junko Miyashita,Acting,2.0503
Wang Xingwei,Acting,2.05
Megumi Han,Acting,2.0495
Cynthia Rothrock,Acting,2.0492
Camila Mendes,Acting,2.0487
Paul Thomas Anderson,Directing,2.0487
Shirley Henderson,Acting,2.0487
Kohei Amasaki,Acting,2.0485
Saki Aibu,Acting,2.0484
Thuso Mbedu,Acting,2.0476
Tahar Rahim,Acting,2.0475
Dominic Purcell,Acting,2.0471
Huang Bo,Acting,2.0465
Kayla Wallace,Acting,2.0463
Ami Koshimizu,Acting,2.0461
James D'Arcy,Acting,2.045
Connie Britton,Acting,2.0446
Vedette Lim,Acting,1.7563
Coco Martin,Acting,2.0614
Irene Choi,Acting,2.1521
Josh Hartnett,Acting,2.4745
Hwang In-yeop,Acting,1.8757
Josef Sommer,Acting,1.5596
Ku Feng,Acting,2.0262
Mokoo.G,Visual Effects,2.1847
Jack Davenport,Acting,1.8295
Bin Shimada,Acting,1.9903
Rica Matsumoto,Acting,1.9086
Michael Weatherly,Acting,1.9574
Bunta Sugawara,Acting,2.0312
Liu Ye,Acting,2.0803
Pilou Asbæk,Acting,1.733
Saumya Bhagyan Pillai,Acting,2.1337
Elizabeth Lail,Acting,1.9071
Raymond Lam Fung,Acting,2.08
Johnnie To,Directing,1.9898
Jesse Williams,Acting,2.2943
Jesse Williams,Acting,2.2943
J.J. Abrams,Directing,2.0583
Megumi Ogata,Acting,2.2251
Yang Zi,Acting,1.8711
Aaron Pearl,Acting,1.6664
Benedict Wong,Acting,2.3666
Donald Trump,Acting,2.1795
Rei Akasaka,Acting,2.3869
Chafurin,Acting,1.9113
Aleksandr Yatsenko,Acting,2.1701
Patrick Fischler,Acting,2.5268
Jose Palma,Acting,2.0625
Faye Dunaway,Acting,2.0211
Rooney Mara,Acting,1.7528
Carrie Ng Ka-Lai,Acting,2.021
Michael Kelly,Acting,2.2829
Taito Ban,Acting,1.9331
Sonja Sohn,Acting,1.7151
Daniel Beretta,Acting,2.0988
Awkwafina,Acting,2.2341
Kevin Spacey,Acting,2.0914
Pam Grier,Acting,1.8915
Connor Storrie,Acting,2.1706
Kaori Ishihara,Acting,1.993
Ian McElhinney,Acting,2.2353
Joseph Pickering,Camera,0.9185
Leslie Cheung,Acting,2.108
Dev Patel,Acting,2.192
Tamlyn Tomita,Acting,1.9699
Dan Fogler,Acting,1.7988
Koyoharu Gotouge,Writing,1.6388
Jennette McCurdy,Acting,1.8734
Cho Han-cheul,Acting,1.9474
Davide Marotta,Acting,2.1112
Jaime Ray Newman,Acting,2.2744
Ted Danson,Acting,2.1703
Joseph Kosinski,Directing,2.0103
Masato Sakai,Acting,1.9835
Tony Shalhoub,Acting,2.1671
Park Shin-hye,Acting,2.1807
Eugenio Mira,Directing,2.0283
Melissa Rauch,Acting,2.0277
Ge Li,Sound,2.0276
Callina Liang,Acting,2.0276
Soichiro Hoshi,Acting,2.0276
Jake Busey,Acting,2.0276
Robert Mitchum,Acting,2.0271
Ahmad Bedir,Acting,2.0263
Ku Feng,Acting,2.0262
Naoko Matsui,Acting,2.0262
Eric Kripke,Writing,2.0254
Boris Sztulman,Acting,2.0253
Jeffrey Donovan,Acting,2.025
Teyana Taylor,Acting,2.0249
Jordan Chan Siu-Chun,Acting,2.0246
Richard Harmon,Acting,2.0244
Robert Fuller,Acting,2.024
Jack Lemmon,Acting,2.0236
Teri Polo,Acting,2.0234
Yumi Touma,Acting,2.0232
Kim Ga-eun,Acting,2.0227
Kristin Chenoweth,Acting,2.0226
Michelle Randolph,Acting,2.0225
Hong Kyung,Acting,2.0223
Brianna Patterson,Costume & Make-Up,2.022
Faye Dunaway,Acting,2.0211
Carrie Ng Ka-Lai,Acting,2.021
Roy Scheider,Acting,2.0209
Madison Pettis,Acting,2.0208
Luo Zheng,Acting,2.0207
Garrett Hedlund,Acting,2.0204
Elizabeth Marvel,Acting,2.0202
Yoon Chan-young,Acting,2.0201
Jennifer Ehle,Acting,2.0201
David Wenham,Acting,2.0199
Qiu Dingjie,Acting,2.0197
Josh Stewart,Acting,2.0197
Engfa Waraha,Acting,2.0196
Hiroyuki Yoshino,Acting,2.0195
Julie Andrews,Acting,2.0192
Chikahiro Kobayashi,Acting,1.9245
Kathleen Turner,Acting,1.9456
Yuka Iguchi,Acting,2.2217
Masako Ikeda,Acting,1.8591
Eiji Okuda,Acting,2.0431
Elisabetta Canalis,Acting,1.7645
Lauren Graham,Acting,1.7881
Devrim Özkan,Acting,2.2568
Phillip Ko Fai,Directing,2.012
Veronica Yip Yuk-Hing,Acting,1.8218
Im Soo-hyang,Acting,1.911
Hitomi Kuroki,Acting,2.0387
Bruce Campbell,Acting,1.9645
Madeleine Coghlan,Acting,2.0073
Shunsuke Takeuchi,Acting,2.1503
Nao Omori,Acting,2.2019
Garik Kharlamov,Acting,1.9922
Mia Threapleton,Acting,2.4461
Azumi Waki,Acting,1.9626
Eric Tsang Chi-Wai,Acting,2.1491
Minami Tsuda,Acting,1.8332
Naomi Tani,Acting,1.8997
Vamshi Paidipally,Directing,2.066
Edie Falco,Acting,2.0752
Sakura Ando,Acting,1.8245
Kay Panabaker,Acting,1.9943
Vince Gilligan,Writing,1.9504
Cynthia Addai-Robinson,Acting,1.7826
Alex Man Chi-Leung,Acting,1.9422
Mitsuo Iwata,Acting,2.0639
Hirokazu Kore-eda,Directing,1.901
James D'Arcy,Acting,2.045
Yoji Ueda,Acting,2.112
Song Seung-heon,Acting,1.9279
Alexandre Kominek,Acting,1.9587
Harry Styles,Acting,2.2154
Kyle Chandler,Acting,1.8766
Risa Taneda,Acting,1.7737
Yuko Mizutani,Acting,1.6089
Sathyaraj,Acting,1.8929
Wilmer Valderrama,Acting,2.0188
Makoto Koichi,Acting,1.7243
Joel Edgerton,Acting,1.9913
Scott Eastwood,Acting,1.9015
Lee Je-hoon,Acting,2.1224
Beverly Powers,Acting,1.4253
Daniel Padilla,Acting,1.8402
Robert Vaughn,Acting,1.7743
Wu Yue,Acting,1.9699
Eddie Redmayne,Acting,1.9505
Kimiko Yo,Acting,2.1218
Mei Nagano,Acting,2.0186
Camilla Belle,Acting,2.2817
Jim Malmgren,Lighting,1.9826
Hilarie Burton,Acting,1.8307
Michael Wong,Acting,2.0956
Noriko Sakai,Acting,2.0169
Kaori Mizuhashi,Acting,2.0665
Phoebe Waller-Bridge,Acting,2.2587
Sarah Chalke,Acting,1.928
Sarah Chalke,Acting,1.928
Sean Lau Ching-wan,Acting,2.3386
Sarah Drew,Acting,1.9027
Julianne Hough,Acting,1.9173
Peter Facinelli,Acting,2.1817
John Saxon,Acting,1.8088
Romy Schneider,Acting,2.1457
Natalie Zea,Acting,2.1137
Li Zifeng,Acting,1.6723
Lily Collins,Acting,1.9844
Ittoku Kishibe,Acting,1.957
María Pedraza,Acting,1.9602
Cara Delevingne,Acting,2.0969
Jim Parsons,Acting,1.8289
Michiko Kichise,Acting,2.0159
Motomu Kiyokawa,Acting,1.7186
Yuuko Sasamoto,Acting,1.9388
Roy Scheider,Acting,2.0209
Robert Joy,Acting,2.0304
Richard E. Grant,Acting,1.9568
Alana de la Garza,Acting,1.983
Karen Allen,Acting,2.2077
E. G. Daily,Acting,2.0139
Timothy Dalton,Acting,1.7999
Oliver Stone,Directing,2.0105
Ge You,Acting,1.8886
Jun Izumi,Acting,2.0827
Hiroshi Seko,Writing,1.9779
Michael Clarke Duncan,Acting,1.9772
Yoyo Mung Ka-Wai,Acting,2.1834
Dileep,Acting,1.8199
Shingo Tsurumi,Acting,1.8829
Aishwarya Lekshmi,Acting,1.8662
Han Se-hee,Acting,1.7873
Seo In-guk,Acting,2.0074
Janhvi Kapoor,Acting,1.6182
Rob Schneider,Acting,1.934
Mark Boone Junior,Acting,1.6371
William Baldwin,Acting,1.7655
Miho Okasaki,Acting,1.8555
Eddie Peng Yu-Yan,Acting,2.0985
Riisa Naka,Acting,1.8301
Rei Sakuma,Acting,1.921
Stanley Fung Shui-Fan,Acting,1.9873
Holt McCallany,Acting,2.0091
Tim Papienski,Art,1.867
Mark Heap,Acting,2.0592
Michael Gaston,Acting,1.6308
Park Ji-hu,Acting,1.81
Chris Diamantopoulos,Acting,1.9718
Brenda Blethyn,Acting,1.7975
John Rhys-Davies,Acting,2.0311
Joshua Bassett,Acting,1.9226
Elaine Ng Yee-Lei,Acting,2.2741
Joseph Fiennes,Acting,1.8849
Li Boyan,Acting,2.0666
Yohei Azakami,Acting,2.0546
Zhou Dongyu,Acting,2.0303
Tyler Perry,Acting,1.8444
Yuri Kolokolnikov,Acting,2.0619
Mitsuki Saiga,Acting,1.9869
Laura Smet,Acting,1.9868
Charlie Day,Acting,1.9867
Gao Yuanyuan,Acting,1.9866
Corbin Bleu,Acting,1.9866
Bella Thorne,Acting,1.9864
Hitomi Nabatame,Acting,1.9859
Terry Kinney,Acting,1.9858
Max Minghella,Acting,1.9858
Claudia Echeverry,Acting,1.9855
Christopher Lambert,Acting,1.9852
Wunmi Mosaku,Acting,1.9846
María Conchita Alonso,Acting,1.9846
Charles Melton,Acting,1.9844
Chieko Baisho,Acting,1.9844
Lily Collins,Acting,1.9844
Mirei Kiritani,Acting,1.9842
Ai Orikasa,Acting,1.9842
Shunsuke Takeuchi,Acting,1.984
River Phoenix,Acting,1.984
Noriaki Sugiyama,Acting,1.9838
Yosuke Eguchi,Acting,1.9838
Corey Yuen,Directing,1.9837
Megumi Kagurazaka,Acting,1.9836
Masato Sakai,Acting,1.9835
Ellyn Jameson,Acting,1.9834
Alana de la Garza,Acting,1.983
Jay Baruchel,Acting,1.983
Melora Hardin,Acting,1.9828
Jim Malmgren,Lighting,1.9826
Natsumi Fujiwara,Acting,1.9823
Shraddha Kapoor,Acting,1.9823
Ok Taec-yeon,Acting,1.9822
David Lonsdale,Acting,1.9821
Manuel Garcia-Rulfo,Acting,1.982
Katrina Halili,Acting,1.9817
Lynne Thigpen,Acting,1.9814
Jim Belushi,Acting,1.9814
Will Forte,Acting,1.9811
Eugene Troobnick,Acting,1.9808
Ciara Bravo,Acting,1.9163
Stefania Sandrelli,Acting,1.9593
Patrick Tam Yiu-Man,Acting,2.1206
Vivay Jain,Production,1.9483
Ying Zhang,Production,0.9
Alana Haim,Acting,1.8794
Charlie Chaplin,Acting,1.6811
Teresa Mak Ka-Kei,Acting,1.9324
Noriaki Sugiyama,Acting,1.9838
Jenny Slate,Acting,1.9475
Manuel Garcia-Rulfo,Acting,1.982
Chris Webster,Acting,2.0
Cho Jung-seok,Acting,2.0912
Fumiko Orikasa,Acting,1.8657
Craig Ferguson,Acting,1.5008
Betty Gilpin,Acting,1.8685
Lola Glaudini,Acting,1.9049
Jake Busey,Acting,2.0276
Mary Lynn Rajskub,Acting,1.9105
Gérard Depardieu,Acting,1.9677
Gérard Depardieu,Acting,1.9677
Tien Niu,Acting,1.6774
Beau Bridges,Acting,2.0686
Bailee Madison,Acting,1.8349
Eric McCormack,Acting,1.8112
Hiam Abbass,Acting,1.3399
Bao Shangen,Acting,2.2661
Miley Cyrus,Acting,2.2399
Erasmo Genzini,Acting,6.5258
Midori Satsuki,Acting,3.7397
Cindy Eilbacher,Acting,1.1614
Phutharit Prombandal,Acting,1.8754
Dilraba Dilmurat,Acting,1.8191
Vicky Zhao,Acting,1.8833
Anthony Michael Hall,Acting,2.1306
Roberta Bononi,Editing,2.0998
Cédric Terrasson,Directing,1.665
Tony Curtis,Acting,1.8573
Ai Yoshikawa,Acting,2.1108
Albert B,Acting,1.8465
Tomoko Yamaguchi,Acting,1.9723
Sandrine Holt,Acting,1.9722
Chris Diamantopoulos,Acting,1.9718
Pom Klementieff,Acting,1.9718
Zheng Hehuizi,Acting,1.9715
Sam Witwer,Acting,1.971
Vin Zhang,Acting,1.9709
Kenji Nojima,Acting,1.9708
Geraldine Somerville,Acting,1.9706
Wu Yue,Acting,1.9699
Tamlyn Tomita,Acting,1.9699
Rumi Okubo,Acting,1.9695
Eugenia Suárez,Acting,1.969
David Webb,Editing,1.9685
Massimo Ranieri,Acting,1.9683
Jim Broadbent,Acting,1.9683
Daisy Ridley,Acting,1.9682
Tika Sumpter,Acting,1.968
Russell Brand,Acting,1.9679
Gérard Depardieu,Acting,1.9677
Willa Holland,Acting,1.9676
Mao Xiaotong,Acting,1.9664
Alfie Allen,Acting,1.9663
Jesse Spencer,Acting,1.966
Ally Sheedy,Acting,1.966
Yoshiko Sakakibara,Acting,1.966
Andres Muhlach,Acting,1.9658
Ellen Pompeo,Acting,1.9657
Hiroko Fuji,Acting,1.9649
Denver Pyle,Acting,1.9649
